Symbol,Cluster,Difference
LLY,1,-174.1205
MCK,1,-59.27668
RL,1,-59.25410000000001
MAR,1,-24.713750000000005
PLD,1,-7.548015000000007
AVB,1,-4.950670000000002
PG,1,-3.163330000000002
RJF,1,-2.8203100000000063
QCOM,1,-2.011809999999997
AKAM,1,0.2549840000000074
MMM,1,3.649569999999997
RVTY,1,4.171754000000007
ECL,1,14.1567
UHS,1,18.75905
ENPH,1,19.07449
PANW,2,-34.44045000000003
WYNN,2,-7.0735699999999895
SO,2,-2.0070400000000035
NTAP,2,-1.720748999999998
EW,2,-1.4783699999999982
CNP,2,-1.291561999999999
DOW,2,-1.2780849999999973
EQR,2,-1.2036299999999969
GLW,2,-0.9166039999999996
KO,2,-0.840797000000002
MTCH,2,-0.3343540000000047
WY,2,0.0632780000000039
COO,2,0.297229999999999
IP,2,0.6561930000000018
MDLZ,2,0.7477109999999954
IPG,2,0.931201999999999
LNT,2,1.040699999999994
TSN,2,1.8572850000000043
LEN,2,18.721100000000007
LDOS,2,25.61609000000001
MSCI,3,-49.46771000000001
INTU,3,-34.11426999999992
IDXX,3,-8.992309999999975
DPZ,3,3.2269699999999943
CI,4,-25.00192000000004
AON,4,-13.472199999999988
V,4,-11.801179999999988
SNA,4,-9.962600000000007
FLT,4,-5.489400000000046
BA,4,0.0025700000000199
HON,4,3.8940699999999993
PSA,4,4.030609999999967
ALB,4,5.663379999999989
WST,4,9.14409999999998
PAYC,4,25.04303999999999
